Image Name,Light Condition,Complexity,Reason,Difficulty Level,,,
Bulldozer_184.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Bulldozer_192.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Bulldozer_198.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Bulldozer_208.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Bulldozer_241.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Bulldozer_253.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Bulldozer_42.png,Low,Low,Sufficient visible details and simple scene structure.,1,2,0,
Bulldozer_43.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
Bulldozer_513.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Crane_368.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_384.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
Crane_390.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_392.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_395.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_400.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_402.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_428.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_443.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Crane_444.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_08.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Excavator_114.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_123.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_129.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_158.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_169.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_18.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Excavator_23.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Excavator_35.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Excavator_460.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Excavator_466.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Excavator_469.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_482.png,High,High,Low-light conditions and complex object arrangement.,2,2,1,
Excavator_500.png,High,High,Low-light conditions and complex object arrangement.,2,1,0,
Truck_262.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
Truck_282.png,Low,Low,Sufficient visible details and simple scene structure.,1,2,0,
Truck_291.png,Low,Low,Sufficient visible details and simple scene structure.,1,2,0,
Truck_311.png,Low,Low,Sufficient visible details and simple scene structure.,1,2,0,
Truck_324.png,Low,Low,Sufficient visible details and simple scene structure.,1,2,0,
Truck_342.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
Truck_526.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
Truck_84.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
Truck_86.png,Low,Low,Sufficient visible details and simple scene structure.,1,1,1,
,,,,,,25,0.595238095
